SVM,KNeighborsClassifier,Common_Features,LogisticRegression,DecisionTreeClassifier,XGBoost
TMB,SPTA1_Missense_Mutation,MEF2B_logCR,PGA,TMB,LRP1B_Missense_Mutation
PGA,CTLA4_Missense_Mutation,PPARG_Missense_Mutation,MYCN_Missense_Mutation,SPTA1_Missense_Mutation,BCL6_Missense_Mutation
SPTA1_Missense_Mutation,FOXP1_Missense_Mutation,TFRC_logCR,FOXP1_Missense_Mutation,SETD2_Missense_Mutation,GABRA6_Missense_Mutation
CSF3R_Missense_Mutation,GABRA6_Missense_Mutation,,KLHL6_Missense_Mutation,PRKDC_Missense_Mutation,FGFR4_Missense_Mutation
LRP1B_Missense_Mutation,PIK3CG_Missense_Mutation,,SLIT2_Missense_Mutation,CSF3R_Missense_Mutation,PRDM1_Missense_Mutation
CTLA4_Missense_Mutation,BRAF_Missense_Mutation,,EPHA7_Missense_Mutation,MYCN_Missense_Mutation,BRAF_Missense_Mutation
ERBB4_Missense_Mutation,PREX2_Missense_Mutation,,PRDM1_Missense_Mutation,CTLA4_Missense_Mutation,PTPRD_Missense_Mutation
EPHB1_Missense_Mutation,SYK_Missense_Mutation,,MAGI2_Missense_Mutation,ERBB4_Missense_Mutation,CBL_Missense_Mutation
KLHL6_Missense_Mutation,TSHR_Missense_Mutation,,FGFR2_Missense_Mutation,GABRA6_Missense_Mutation,TSC2_Missense_Mutation
FBXW7_Missense_Mutation,TSC2_Missense_Mutation,,CBL_Missense_Mutation,EPHA7_Missense_Mutation,ANKRD11_Missense_Mutation
GABRA6_Missense_Mutation,ANKRD11_Missense_Mutation,,KDM5A_Missense_Mutation,EGFR_Missense_Mutation,NOTCH3_Missense_Mutation
EPHA7_Missense_Mutation,TP53_Missense_Mutation,,ANKRD11_Missense_Mutation,MAGI2_Missense_Mutation,ERG_Missense_Mutation
EGFR_Missense_Mutation,NF1_Nonsense_Mutation,,NF1_Missense_Mutation,PIK3CG_Missense_Mutation,KDR_Missense_Mutation
PREX2_Missense_Mutation,DNMT1_Missense_Mutation,,LZTR1_Missense_Mutation,SYK_Missense_Mutation,IL7R_Missense_Mutation
PTPRD_Missense_Mutation,LZTR1_Missense_Mutation,,NF2_Nonsense_Mutation,WT1_Missense_Mutation,STAT5B_Missense_Mutation
SYK_Missense_Mutation,PBRM1_Missense_Mutation,,EWSR1_Missense_Mutation,NF1_Nonsense_Mutation,SPEN_Missense_Mutation
WT1_Missense_Mutation,PIK3C3_Missense_Mutation,,ASXL2_Missense_Mutation,RPS6KB1_Missense_Mutation,RANBP2_Missense_Mutation
CBL_Missense_Mutation,SETBP1_Missense_Mutation,,PAX8_Missense_Mutation,ERG_Missense_Mutation,MITF_Missense_Mutation
TP53_Missense_Mutation,INSR_Missense_Mutation,,FGFR3_Missense_Mutation,KDR_Missense_Mutation,FGFR3_Missense_Mutation
RPS6KB1_Missense_Mutation,AXL_Missense_Mutation,,GRM3_Missense_Mutation,IL7R_Missense_Mutation,APC_Missense_Mutation
NOTCH3_Missense_Mutation,EWSR1_Missense_Mutation,,SOX17_Missense_Mutation,MAP2K1_Missense_Mutation,FLT4_Missense_Mutation
PAK7_Missense_Mutation,SPEN_Missense_Mutation,,NOTCH1_Missense_Mutation,EWSR1_Missense_Mutation,BRAF_Missense_Mutation_hotspot
