SVM,KNeighborsClassifier,Common_Features,LogisticRegression,DecisionTreeClassifier,XGBoost
TMB,TMB,,ERBB4_Missense_Mutation,EPHA7_logCR,PTPRT_logCR
PGA,PGA,,ERG_Missense_Mutation,,KEL_logCR
MYCN_Missense_Mutation,SPTA1_Missense_Mutation,,EWSR1_Missense_Mutation,,
CTLA4_Missense_Mutation,SETD2_Missense_Mutation,,NOTCH1_Missense_Mutation,,
GABRA6_Missense_Mutation,PRKDC_Missense_Mutation,,LATS2_Missense_Mutation,,
PREX2_Missense_Mutation,MYCN_Missense_Mutation,,AR_Missense_Mutation,,
SYK_Missense_Mutation,ALK_Missense_Mutation,,RUNX1T1_Missense_Mutation,,
ASXL2_Missense_Mutation,CTLA4_Missense_Mutation,,FGF23_Missense_Mutation,,
HGF_Missense_Mutation,KLHL6_Missense_Mutation,,NTRK3_Missense_Mutation,,
MGA_Missense_Mutation,BCL6_Missense_Mutation,,MDC1_Missense_Mutation,,
IDH1_Missense_Mutation,SLIT2_Missense_Mutation,,GLI1_Missense_Mutation,,
ROS1_Missense_Mutation,GABRA6_Missense_Mutation,,SDHB_logCR,,
FGF23_Missense_Mutation,EPHA7_Missense_Mutation,,RAD54L_logCR,,
NTRK3_Missense_Mutation,MAGI2_Missense_Mutation,,JUN_logCR,,
ATM_Missense_Mutation,PIK3CG_Missense_Mutation,,JAK1_logCR,,
BRCA2_Missense_Mutation,WT1_Missense_Mutation,,HIST2H3D_logCR,,
TOP2A_Missense_Mutation,CBL_Missense_Mutation,,MRE11A_logCR,,
PIK3CD_logCR,PIK3C2G_Missense_Mutation,,FOXO1_logCR,,
MUTYH_logCR,TSHR_Missense_Mutation,,LAMP1_logCR,,
RAD54L_logCR,TSC2_Missense_Mutation,,NUTM1_logCR,,
BCL10_logCR,TP53_Missense_Mutation,,PDPK1_logCR,,
SDHC_logCR,BRCA1_Missense_Mutation,,CTCF_logCR,,
ABL2_logCR,NOTCH3_Missense_Mutation,,ALOX12B_logCR,,
AKT3_logCR,PAK7_Missense_Mutation,,INSR_logCR,,
FGF8_logCR,KDR_Missense_Mutation,,CALR_logCR,,
SDHAF2_logCR,RET_Missense_Mutation,,AKT2_logCR,,
CHEK1_logCR,STAT5B_Missense_Mutation,,EML4_logCR,,
ERBB3_logCR,SETBP1_Missense_Mutation,,XPO1_logCR,,
MDM2_logCR,INSR_Missense_Mutation,,ERBB4_logCR,,
FRS2_logCR,AXL_Missense_Mutation,,TMPRSS2_logCR,,
FOXA1_logCR,EWSR1_Missense_Mutation,,NF2_logCR,,
RAD51B_logCR,ARID1A_Missense_Mutation,,RHOA_logCR,,
CD276_logCR,SPTA1_Nonsense_Mutation,,PIK3R1_logCR,,
GPS2_logCR,DDR2_Missense_Mutation,,RAD50_logCR,,
AURKB_logCR,PAX8_Missense_Mutation,,PIM1_logCR,,
FLCN_logCR,FGFR3_Missense_Mutation,,VEGFA_logCR,,
CDK12_logCR,FLT4_Missense_Mutation,,ARID1B_logCR,,
BRCA1_logCR,HGF_Missense_Mutation,,IKZF1_logCR,,
ETV4_logCR,BRAF_Missense_Mutation_hotspot,,EGFR_logCR,,
SPOP_logCR,SOX17_Missense_Mutation,,FANCC_logCR,,
PPM1D_logCR,FGF19_Missense_Mutation,,,,
SMAD4_logCR,KMT2A_Missense_Mutation,,,,
DNMT1_logCR,ARID2_Missense_Mutation,,,,
PIK3R2_logCR,CDK4_Missense_Mutation,,,,
MEF2B_logCR,FLT1_Missense_Mutation,,,,
CEBPA_logCR,IRS2_Missense_Mutation,,,,
BCL2L11_logCR,MGA_Missense_Mutation,,,,
ACVR1_logCR,CD276_Missense_Mutation,,,,
AURKA_logCR,ZFHX3_Missense_Mutation,,,,
GNAS_logCR,ASXL1_Missense_Mutation,,,,
TMPRSS2_logCR,EP300_Missense_Mutation,,,,
EP300_logCR,ARAF_Missense_Mutation,,,,
TGFBR2_logCR,AR_Missense_Mutation,,,,
MYD88_logCR,ATRX_Missense_Mutation,,,,
EPHB1_logCR,NRAS_Missense_Mutation_hotspot,,,,
SOX2_logCR,FAT1_Missense_Mutation,,,,
FAM175A_logCR,PTPRT_Missense_Mutation,,,,
FGF2_logCR,PIK3C2B_Missense_Mutation,,,,
CSNK1A1_logCR,ROS1_Missense_Mutation,,,,
HIST1H3G_logCR,GPR124_Missense_Mutation,,,,
PIM1_logCR,TET2_Missense_Mutation,,,,
MYB_logCR,SNCAIP_Missense_Mutation,,,,
CARD11_logCR,NOTCH2_Missense_Mutation,,,,
EGFR_logCR,CTNNB1_Missense_Mutation,,,,
MAGI2_logCR,DNMT3A_Missense_Mutation,,,,
BRAF_logCR,IRS1_Missense_Mutation,,,,
RHEB_logCR,CASP8_Missense_Mutation,,,,
KMT2C_logCR,TP63_Missense_Mutation,,,,
NKX3.1_logCR,SLX4_Missense_Mutation,,,,
NRG1_logCR,DICER1_Missense_Mutation,,,,
LYN_logCR,TP53_Nonsense_Mutation,,,,
JAK2_logCR,GNAS_Missense_Mutation,,,,
CD274_logCR,FAS_Missense_Mutation,,,,
TRAF2_logCR,HIST1H3F_Missense_Mutation,,,,
BCOR_logCR,TBX3_Missense_Mutation,,,,
,BRCA2_Missense_Mutation,,,,
,TOP2A_Missense_Mutation,,,,
,TNFRSF14_logCR,,,,
,PIK3CD_logCR,,,,
,MTOR_logCR,,,,
,STK40_logCR,,,,
,CSF3R_logCR,,,,
,RAD54L_logCR,,,,
,CDKN2C_logCR,,,,
,JUN_logCR,,,,
,NEGR1_logCR,,,,
,FUBP1_logCR,,,,
,BCL10_logCR,,,,
,VTCN1_logCR,,,,
,FAM46C_logCR,,,,
,NOTCH2_logCR,,,,
,HIST2H3D_logCR,,,,
,MCL1_logCR,,,,
,RIT1_logCR,,,,
,SDHC_logCR,,,,
,DDR2_logCR,,,,
,RFWD2_logCR,,,,
,ABL2_logCR,,,,
,IL10_logCR,,,,
,HIST3H3_logCR,,,,
,AKT3_logCR,,,,
,KIF5B_logCR,,,,
,RET_logCR,,,,
,ARID5B_logCR,,,,
,TET1_logCR,,,,
,BMPR1A_logCR,,,,
,SUFU_logCR,,,,
,SMC3_logCR,,,,
,TCF7L2_logCR,,,,
,FGFR2_logCR,,,,
,LMO1_logCR,,,,
,MYOD1_logCR,,,,
,WT1_logCR,,,,
,MEN1_logCR,,,,
,FGF19_logCR,,,,
,FGF4_logCR,,,,
,FGF3_logCR,,,,
,PGR_logCR,,,,
,BIRC3_logCR,,,,
,ATM_logCR,,,,
,CHEK1_logCR,,,,
,ETS1_logCR,,,,
,FLI1_logCR,,,,
,KDM5A_logCR,,,,
,RAD52_logCR,,,,
,CCND2_logCR,,,,
,FGF23_logCR,,,,
,FGF6_logCR,,,,
,ETV6_logCR,,,,
,CDKN1B_logCR,,,,
,ARID2_logCR,,,,
,KMT2D_logCR,,,,
,CDK4_logCR,,,,
,FRS2_logCR,,,,
,IGF1_logCR,,,,
,SH2B3_logCR,,,,
,HNF1A_logCR,,,,
,POLE_logCR,,,,
,LATS2_logCR,,,,
,FGF9_logCR,,,,
,FOXO1_logCR,,,,
,RB1_logCR,,,,
,DIS3_logCR,,,,
,ERCC5_logCR,,,,
,IRS2_logCR,,,,
,LAMP1_logCR,,,,
,NKX2.1_logCR,,,,
,FOXA1_logCR,,,,
,DICER1_logCR,,,,
,GREM1_logCR,,,,
,NUTM1_logCR,,,,
,RAD51_logCR,,,,
,NTRK3_logCR,,,,
,IDH2_logCR,,,,
,CHD2_logCR,,,,
,IGF1R_logCR,,,,
,AXIN1_logCR,,,,
,TSC2_logCR,,,,
,TRAF7_logCR,,,,
,SOCS1_logCR,,,,
,PRSS8_logCR,,,,
,CYLD_logCR,,,,
,NUP93_logCR,,,,
,CBFB_logCR,,,,
,CDH1_logCR,,,,
,ZFHX3_logCR,,,,
,PLCG2_logCR,,,,
,FANCA_logCR,,,,
,GPS2_logCR,,,,
,GID4_logCR,,,,
,SUZ12_logCR,,,,
,ERBB2_logCR,,,,
,STAT3_logCR,,,,
,RAD51C_logCR,,,,
,PPM1D_logCR,,,,
,CD79B_logCR,,,,
,GNA13_logCR,,,,
,AXIN2_logCR,,,,
,SRSF2_logCR,,,,
,RPTOR_logCR,,,,
,YES1_logCR,,,,
,GATA6_logCR,,,,
,SETBP1_logCR,,,,
,SMAD2_logCR,,,,
,TCF3_logCR,,,,
,DOT1L_logCR,,,,
,MAP2K2_logCR,,,,
,PTPRS_logCR,,,,
,KEAP1_logCR,,,,
,SMARCA4_logCR,,,,
,CALR_logCR,,,,
,NOTCH3_logCR,,,,
,BRD4_logCR,,,,
,PIK3R2_logCR,,,,
,KMT2B_logCR,,,,
,ERCC1_logCR,,,,
,BBC3_logCR,,,,
,PPP2R1A_logCR,,,,
,MYCN_logCR,,,,
,GEN1_logCR,,,,
,DNMT3A_logCR,,,,
,ASXL2_logCR,,,,
,EPCAM_logCR,,,,
,REL_logCR,,,,
,XPO1_logCR,,,,
,ERCC3_logCR,,,,
,NFE2L2_logCR,,,,
,PMS1_logCR,,,,
,STAT4_logCR,,,,
,IDH1_logCR,,,,
,ERBB4_logCR,,,,
,BARD1_logCR,,,,
,PAK7_logCR,,,,
,BCL2L1_logCR,,,,
,ASXL1_logCR,,,,
,DNMT3B_logCR,,,,
,TOP1_logCR,,,,
,NCOA3_logCR,,,,
,RUNX1_logCR,,,,
,ERG_logCR,,,,
,ICOSLG_logCR,,,,
,LZTR1_logCR,,,,
,SMARCB1_logCR,,,,
,SOX10_logCR,,,,
,FANCD2_logCR,,,,
,TGFBR2_logCR,,,,
,MLH1_logCR,,,,
,RHOA_logCR,,,,
,MST1_logCR,,,,
,MST1R_logCR,,,,
,PBRM1_logCR,,,,
,MITF_logCR,,,,
,FOXP1_logCR,,,,
,SHQ1_logCR,,,,
,EPHA3_logCR,,,,
,GSK3B_logCR,,,,
,GATA2_logCR,,,,
,STAG1_logCR,,,,
,PIK3CB_logCR,,,,
